Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km,VIS,MIN,ÎÂ¶È²î
746,2018-08-02 12:05:10,11,30.800,68.900,1001.000,24.21,0,4.447,0.184,1.006,30.800,30.359,29.984,29.586,29.153,28.816,28.517,28.210,27.802,27.463,27.020,26.536,25.940,25.423,24.838,24.252,23.526,22.856,22.210,21.697,21.107,20.482,19.841,19.265,18.767,17.974,16.833,15.495,14.222,12.993,11.712,10.470,9.167,7.746,6.310,4.796,3.372,1.977,0.674,-0.744,-2.108,-3.460,-4.843,-6.287,-7.721,-9.151,-10.319,-11.483,-12.680,-13.993,-15.435,-16.872,-18.252,-19.603,-21.057,-22.657,-24.384,-25.992,20000,10000,-4.981
750,2018-08-02 12:09:03,11,31.000,69.500,1001.000,-0.01,0,4.497,0.146,5.393,31.000,30.367,29.901,29.424,28.897,28.493,28.143,27.781,27.264,26.843,26.291,25.695,24.988,24.412,23.721,23.067,22.252,21.509,20.771,20.277,19.722,19.093,18.450,17.897,17.468,16.776,15.802,14.605,13.425,12.372,11.284,10.224,9.045,7.721,6.333,4.858,3.486,2.132,0.826,-0.636,-2.015,-3.356,-4.753,-6.140,-7.505,-8.910,-10.110,-11.168,-12.252,-13.547,-14.985,-16.358,-17.602,-18.780,-20.031,-21.562,-23.299,-24.782,20000,10000,-4.404
754,2018-08-02 12:12:56,11,31.200,68.000,1000.900,-3.15,0,4.431,0.150,5.866,31.200,30.760,30.391,29.991,29.554,29.218,28.929,28.620,28.205,27.850,27.383,26.880,26.260,25.729,25.101,24.462,23.660,22.939,22.228,21.668,21.045,20.385,19.711,19.113,18.609,17.794,16.636,15.270,13.978,12.757,11.496,10.271,8.969,7.531,6.077,4.564,3.134,1.730,0.402,-1.062,-2.501,-3.905,-5.309,-6.768,-8.222,-9.688,-10.894,-12.069,-13.275,-14.593,-16.034,-17.474,-18.856,-20.191,-21.578,-23.147,-24.852,-26.440,20000,10000,-5.037000000000001
758,2018-08-02 12:16:49,11,31.600,68.800,1001.000,-2.32,0,4.506,0.148,5.997,31.600,31.207,30.877,30.503,30.072,29.764,29.493,29.214,28.810,28.491,28.072,27.663,27.138,26.703,26.164,25.650,24.975,24.392,23.815,23.373,22.848,22.245,21.640,21.111,20.658,19.887,18.773,17.449,16.077,14.776,13.392,12.123,10.760,9.292,7.782,6.198,4.677,3.244,1.955,0.504,-0.920,-2.338,-3.760,-5.177,-6.571,-7.998,-9.177,-10.304,-11.485,-12.776,-14.289,-15.772,-17.172,-18.476,-19.959,-21.627,-23.475,-25.097,20000,10000,-5.111000000000001
762,2018-08-02 12:20:42,11,31.800,67.200,1000.900,-2.09,0,4.434,0.149,5.870,31.800,31.341,30.977,30.576,30.113,29.780,29.490,29.189,28.746,28.385,27.913,27.449,26.860,26.372,25.764,25.182,24.423,23.764,23.113,22.632,22.070,21.435,20.799,20.255,19.803,19.033,17.938,16.634,15.306,14.064,12.753,11.540,10.234,8.790,7.298,5.737,4.254,2.828,1.523,0.051,-1.400,-2.832,-4.260,-5.675,-7.069,-8.504,-9.702,-10.818,-11.982,-13.284,-14.776,-16.218,-17.570,-18.836,-20.226,-21.843,-23.657,-25.218,20000,10000,-4.969000000000001
766,2018-08-02 12:24:35,11,30.700,69.800,1000.800,0.62,0,4.480,0.152,5.343,30.700,30.273,29.912,29.515,29.091,28.764,28.481,28.183,27.792,27.469,27.046,26.587,26.025,25.557,25.010,24.466,23.773,23.162,22.560,22.081,21.537,20.929,20.319,19.762,19.290,18.514,17.416,16.107,14.779,13.536,12.245,11.035,9.709,8.285,6.819,5.296,3.843,2.454,1.154,-0.279,-1.674,-3.047,-4.438,-5.858,-7.283,-8.711,-9.886,-11.027,-12.212,-13.499,-14.958,-16.433,-17.823,-19.153,-20.604,-22.227,-23.983,-25.622,20000,10000,-4.978
770,2018-08-02 12:28:28,11,30.600,71.000,1000.700,1.54,0,4.429,0.151,5.072,30.600,30.082,29.673,29.241,28.784,28.423,28.112,27.785,27.348,26.988,26.509,25.968,25.324,24.790,24.175,23.563,22.801,22.107,21.418,20.903,20.329,19.703,19.058,18.476,18.001,17.249,16.179,14.894,13.649,12.504,11.328,10.190,8.943,7.564,6.152,4.668,3.276,1.913,0.609,-0.823,-2.198,-3.541,-4.930,-6.359,-7.781,-9.210,-10.394,-11.518,-12.665,-13.960,-15.393,-16.821,-18.144,-19.422,-20.774,-22.329,-24.030,-25.614,20000,10000,-4.744999999999999
774,2018-08-02 12:32:22,11,31.200,67.400,1000.800,-2.78,0,4.389,0.149,5.868,31.200,30.717,30.329,29.913,29.454,29.108,28.810,28.494,28.058,27.692,27.212,26.710,26.084,25.558,24.929,24.309,23.518,22.820,22.135,21.615,21.022,20.375,19.721,19.151,18.671,17.887,16.786,15.484,14.199,13.002,11.757,10.572,9.287,7.874,6.425,4.908,3.474,2.079,0.774,-0.689,-2.120,-3.518,-4.921,-6.350,-7.768,-9.204,-10.399,-11.538,-12.717,-14.013,-15.456,-16.887,-18.245,-19.533,-20.899,-22.474,-24.211,-25.767,20000,10000,-4.885
778,2018-08-02 12:36:14,11,31.100,68.800,1000.900,-2.05,0,4.426,0.151,5.703,31.100,30.548,30.118,29.671,29.184,28.807,28.485,28.143,27.673,27.276,26.759,26.195,25.516,24.945,24.264,23.603,22.775,22.028,21.284,20.746,20.146,19.496,18.830,18.246,17.772,17.021,15.966,14.697,13.472,12.358,11.216,10.094,8.859,7.494,6.097,4.619,3.236,1.872,0.561,-0.909,-2.316,-3.679,-5.067,-6.475,-7.875,-9.297,-10.505,-11.611,-12.748,-14.033,-15.445,-16.839,-18.147,-19.390,-20.672,-22.199,-23.897,-25.409,20000,10000,-4.663
782,2018-08-02 12:40:07,11,30.900,69.500,1000.700,-2.05,0,4.427,0.162,5.728,30.900,30.519,30.180,29.806,29.404,29.095,28.822,28.534,28.159,27.846,27.429,26.974,26.406,25.913,25.350,24.773,24.051,23.398,22.759,22.229,21.625,20.993,20.341,19.751,19.231,18.404,17.207,15.822,14.501,13.222,11.884,10.601,9.253,7.794,6.336,4.809,3.355,1.949,0.651,-0.776,-2.170,-3.548,-4.936,-6.412,-7.873,-9.325,-10.492,-11.692,-12.926,-14.232,-15.675,-17.142,-18.574,-19.956,-21.439,-23.046,-24.768,-26.402,20000,10000,-5.182
786,2018-08-02 12:44:00,11,31.100,69.100,1000.800,0.9,0,4.423,0.151,5.205,31.100,30.636,30.260,29.858,29.411,29.073,28.776,28.466,28.038,27.688,27.220,26.720,26.100,25.573,24.958,24.346,23.576,22.879,22.197,21.673,21.071,20.430,19.768,19.186,18.690,17.902,16.763,15.430,14.158,12.951,11.685,10.465,9.177,7.753,6.319,4.800,3.366,1.965,0.669,-0.766,-2.160,-3.538,-4.940,-6.397,-7.827,-9.268,-10.446,-11.604,-12.788,-14.094,-15.545,-16.978,-18.342,-19.646,-21.044,-22.622,-24.353,-25.923,30000,10000,-4.9510000000000005
790,2018-08-02 12:47:54,11,31.300,66.500,1000.600,-1.2,0,4.370,0.158,5.666,31.300,30.757,30.340,29.898,29.407,29.038,28.721,28.393,27.926,27.535,27.032,26.513,25.874,25.350,24.724,24.117,23.339,22.653,21.985,21.503,20.947,20.309,19.685,19.147,18.711,17.963,16.938,15.700,14.434,13.259,12.047,10.928,9.694,8.307,6.833,5.309,3.894,2.511,1.198,-0.262,-1.677,-3.066,-4.468,-5.857,-7.248,-8.663,-9.846,-10.934,-12.072,-13.376,-14.833,-16.238,-17.536,-18.790,-20.144,-21.732,-23.499,-25.051,30000,10000,-4.704000000000001
794,2018-08-02 12:51:47,11,31.500,67.100,1000.800,1.09,0,4.482,0.153,5.179,31.500,31.019,30.629,30.213,29.751,29.401,29.103,28.785,28.343,27.964,27.473,26.957,26.318,25.775,25.120,24.476,23.654,22.923,22.199,21.654,21.039,20.377,19.703,19.116,18.630,17.838,16.721,15.398,14.118,12.924,11.692,10.504,9.222,7.801,6.359,4.849,3.431,2.035,0.716,-0.763,-2.208,-3.610,-5.012,-6.436,-7.857,-9.294,-10.502,-11.639,-12.815,-14.110,-15.538,-16.952,-18.303,-19.590,-20.923,-22.477,-24.196,-25.735,20000,10000,-4.9140000000000015
798,2018-08-02 12:55:39,11,31.800,64.400,1000.700,14.74,0,4.482,0.150,2.656,31.800,31.252,30.834,30.392,29.889,29.515,29.198,28.867,28.381,27.966,27.433,26.900,26.231,25.676,24.995,24.339,23.487,22.745,22.019,21.502,20.907,20.238,19.581,19.031,18.584,17.820,16.778,15.528,14.263,13.100,11.902,10.781,9.548,8.149,6.677,5.150,3.735,2.340,1.021,-0.471,-1.934,-3.360,-4.774,-6.167,-7.557,-8.982,-10.191,-11.282,-12.426,-13.727,-15.174,-16.561,-17.856,-19.091,-20.387,-21.947,-23.701,-25.195,20000,10000,-4.720000000000001
802,2018-08-02 12:59:33,11,31.600,67.600,1000.700,-1.33,0,4.424,0.152,5.677,31.600,31.257,30.944,30.587,30.186,29.892,29.635,29.362,28.988,28.676,28.266,27.849,27.311,26.845,26.290,25.730,25.008,24.371,23.745,23.230,22.634,21.994,21.344,20.769,20.265,19.427,18.217,16.811,15.440,14.100,12.688,11.364,9.982,8.477,6.968,5.398,3.899,2.457,1.150,-0.305,-1.751,-3.179,-4.593,-6.064,-7.520,-8.980,-10.159,-11.359,-12.604,-13.918,-15.392,-16.872,-18.320,-19.704,-21.203,-22.836,-24.611,-26.253,20000,10000,-5.327
806,2018-08-02 13:03:26,11,31.300,67.800,1000.700,-0.51,0,4.497,0.159,5.525,31.300,30.767,30.358,29.924,29.440,29.075,28.762,28.436,27.971,27.586,27.084,26.561,25.919,25.390,24.754,24.139,23.353,22.657,21.969,21.476,20.911,20.276,19.634,19.081,18.630,17.883,16.835,15.575,14.310,13.147,11.942,10.806,9.559,8.166,6.717,5.199,3.778,2.396,1.092,-0.369,-1.786,-3.166,-4.571,-5.976,-7.369,-8.788,-9.977,-11.072,-12.208,-13.505,-14.959,-16.368,-17.672,-18.913,-20.251,-21.825,-23.582,-25.120,20000,10000,-4.735999999999999
810,2018-08-02 13:07:19,11,30.900,68.600,1000.700,-3.23,0,4.417,0.147,5.892,30.900,30.442,30.062,29.655,29.220,28.881,28.591,28.280,27.869,27.519,27.056,26.550,25.928,25.402,24.782,24.156,23.365,22.665,21.973,21.425,20.816,20.166,19.503,18.908,18.402,17.598,16.465,15.134,13.841,12.641,11.404,10.209,8.907,7.489,6.055,4.556,3.130,1.746,0.438,-1.016,-2.441,-3.831,-5.223,-6.670,-8.114,-9.560,-10.755,-11.917,-13.118,-14.404,-15.828,-17.273,-18.660,-19.978,-21.353,-22.914,-24.609,-26.187,20000,10000,-4.956999999999999
814,2018-08-02 13:11:12,11,31.300,68.000,1000.600,0.88,0,4.442,0.155,5.226,31.300,30.740,30.315,29.869,29.374,29.004,28.685,28.350,27.869,27.471,26.944,26.391,25.712,25.151,24.474,23.821,22.986,22.248,21.516,20.995,20.400,19.745,19.081,18.511,18.050,17.302,16.255,15.004,13.767,12.640,11.469,10.354,9.132,7.756,6.335,4.835,3.431,2.053,0.756,-0.715,-2.137,-3.528,-4.936,-6.356,-7.747,-9.170,-10.368,-11.473,-12.611,-13.898,-15.332,-16.728,-18.031,-19.253,-20.537,-22.074,-23.806,-25.306,30000,10000,-4.661999999999999
818,2018-08-02 13:15:04,11,31.200,67.500,1000.600,-0.95,0,4.421,0.169,5.577,31.200,30.721,30.327,29.910,29.456,29.101,28.800,28.486,28.060,27.688,27.220,26.711,26.091,25.562,24.948,24.341,23.570,22.877,22.195,21.676,21.086,20.445,19.796,19.218,18.740,17.959,16.861,15.553,14.270,13.068,11.841,10.664,9.381,7.965,6.523,5.021,3.620,2.241,0.927,-0.520,-1.925,-3.290,-4.676,-6.072,-7.491,-8.898,-10.086,-11.204,-12.367,-13.648,-15.070,-16.487,-17.824,-19.128,-20.497,-22.066,-23.775,-25.352,20000,10000,-4.891
822,2018-08-02 13:18:58,11,30.900,70.300,1000.600,6.54,0,4.498,0.155,4.204,30.900,30.456,30.085,29.683,29.255,28.925,28.639,28.332,27.926,27.588,27.139,26.643,26.037,25.522,24.923,24.320,23.565,22.885,22.208,21.676,21.079,20.442,19.787,19.195,18.693,17.895,16.755,15.412,14.122,12.907,11.645,10.434,9.132,7.710,6.276,4.772,3.343,1.960,0.658,-0.789,-2.192,-3.559,-4.951,-6.402,-7.841,-9.283,-10.465,-11.629,-12.824,-14.120,-15.549,-16.994,-18.380,-19.704,-21.101,-22.671,-24.383,-25.984,20000,10000,-4.9879999999999995
826,2018-08-02 13:22:50,11,30.400,72.300,1000.500,2.84,0,4.469,0.147,4.774,30.400,29.947,29.567,29.160,28.746,28.409,28.120,27.808,27.415,27.083,26.639,26.117,25.495,24.967,24.373,23.764,23.011,22.323,21.635,21.090,20.488,19.856,19.192,18.580,18.064,17.272,16.130,14.785,13.519,12.339,11.126,9.937,8.649,7.243,5.844,4.370,2.973,1.612,0.314,-1.109,-2.481,-3.816,-5.195,-6.653,-8.105,-9.545,-10.724,-11.894,-13.081,-14.368,-15.778,-17.228,-18.604,-19.932,-21.316,-22.862,-24.524,-26.144,20000,10000,-4.932999999999998
830,2018-08-02 13:26:44,11,30.900,69.500,1000.500,7.39,0,4.430,0.154,4.139,30.900,30.523,30.191,29.816,29.416,29.112,28.850,28.567,28.198,27.892,27.485,27.047,26.500,26.038,25.494,24.941,24.233,23.617,23.007,22.503,21.931,21.307,20.676,20.102,19.606,18.792,17.634,16.277,14.917,13.630,12.286,11.032,9.672,8.213,6.731,5.193,3.715,2.311,1.014,-0.429,-1.857,-3.259,-4.655,-6.104,-7.553,-9.005,-10.182,-11.362,-12.586,-13.873,-15.331,-16.822,-18.255,-19.614,-21.086,-22.706,-24.452,-26.107,20000,10000,-5.162000000000001
834,2018-08-02 13:30:36,11,30.500,70.300,1000.500,-3.1,0,4.345,0.153,5.884,30.500,30.099,29.746,29.361,28.962,28.647,28.372,28.078,27.705,27.393,26.973,26.499,25.917,25.418,24.860,24.279,23.553,22.898,22.257,21.726,21.126,20.494,19.844,19.250,18.734,17.914,16.739,15.374,14.071,12.819,11.517,10.273,8.953,7.514,6.067,4.559,3.126,1.737,0.436,-0.982,-2.367,-3.732,-5.119,-6.594,-8.058,-9.511,-10.678,-11.878,-13.107,-14.415,-15.849,-17.319,-18.739,-20.118,-21.585,-23.176,-24.876,-26.530,20000,10000,-5.095000000000001
838,2018-08-02 13:34:29,11,30.500,69.700,1000.400,-3.6,0,4.430,0.147,6.069,30.500,30.090,29.734,29.341,28.936,28.614,28.340,28.048,27.677,27.362,26.952,26.491,25.931,25.465,24.936,24.393,23.701,23.090,22.492,22.002,21.445,20.827,20.213,19.645,19.163,18.367,17.247,15.924,14.597,13.337,12.036,10.828,9.506,8.073,6.600,5.083,3.645,2.261,0.953,-0.460,-1.849,-3.216,-4.607,-6.034,-7.483,-8.912,-10.076,-11.235,-12.440,-13.731,-15.180,-16.661,-18.062,-19.424,-20.896,-22.512,-24.241,-25.916,20000,10000,-5.030000000000001
842,2018-08-02 13:38:22,11,30.900,69.800,1000.400,-3.9,0,4.403,0.134,6.169,30.900,30.518,30.187,29.809,29.405,29.101,28.839,28.559,28.187,27.882,27.477,27.045,26.508,26.064,25.543,25.016,24.333,23.740,23.152,22.675,22.128,21.514,20.900,20.341,19.868,19.071,17.938,16.598,15.236,13.941,12.587,11.345,9.999,8.538,7.038,5.491,4.010,2.602,1.303,-0.130,-1.546,-2.946,-4.356,-5.799,-7.239,-8.681,-9.848,-11.012,-12.222,-13.518,-14.997,-16.493,-17.911,-19.262,-20.749,-22.387,-24.163,-25.839,20000,10000,-5.130000000000001
846,2018-08-02 13:42:16,11,30.800,70.700,1000.400,-2.87,0,4.431,0.142,6.106,30.800,30.399,30.061,29.676,29.262,28.954,28.686,28.408,28.030,27.730,27.333,26.916,26.400,25.986,25.499,25.023,24.393,23.853,23.315,22.893,22.394,21.811,21.231,20.703,20.259,19.500,18.419,17.128,15.763,14.475,13.121,11.903,10.563,9.117,7.614,6.061,4.576,3.180,1.900,0.486,-0.894,-2.271,-3.678,-5.089,-6.490,-7.896,-9.044,-10.167,-11.341,-12.616,-14.108,-15.606,-17.003,-18.325,-19.832,-21.499,-23.318,-24.994,20000,10000,-5.025
850,2018-08-02 13:46:09,11,31.200,68.100,1000.500,-3.51,0,4.314,0.149,6.152,31.200,30.559,30.108,29.634,29.095,28.711,28.375,28.030,27.507,27.098,26.552,26.008,25.341,24.828,24.182,23.589,22.809,22.149,21.493,21.072,20.572,19.957,19.356,18.854,18.466,17.789,16.866,15.733,14.493,13.395,12.236,11.201,10.016,8.679,7.229,5.705,4.271,2.901,1.626,0.158,-1.253,-2.648,-4.069,-5.445,-6.774,-8.172,-9.348,-10.380,-11.462,-12.744,-14.226,-15.622,-16.872,-18.003,-19.281,-20.862,-22.694,-24.171,20000,10000,-4.394000000000002
854,2018-08-02 13:50:01,11,31.400,68.900,1000.400,-4.13,0,4.340,0.146,6.239,31.400,31.091,30.797,30.450,30.070,29.788,29.547,29.288,28.942,28.652,28.276,27.886,27.386,26.957,26.449,25.935,25.263,24.682,24.103,23.617,23.054,22.436,21.811,21.247,20.756,19.925,18.731,17.331,15.919,14.551,13.118,11.799,10.392,8.877,7.349,5.772,4.259,2.828,1.529,0.082,-1.364,-2.787,-4.194,-5.645,-7.101,-8.552,-9.723,-10.914,-12.156,-13.448,-14.929,-16.441,-17.901,-19.297,-20.830,-22.488,-24.271,-25.970,20000,10000,-5.3740000000000006
858,2018-08-02 13:53:55,11,31.500,68.500,1000.500,25.4,0,4.394,0.172,0.832,31.500,30.990,30.584,30.156,29.687,29.323,29.015,28.690,28.238,27.849,27.353,26.817,26.167,25.610,24.956,24.320,23.514,22.781,22.048,21.517,20.913,20.264,19.588,19.004,18.531,17.762,16.667,15.355,14.099,12.928,11.732,10.571,9.320,7.915,6.486,4.985,3.597,2.223,0.913,-0.555,-1.964,-3.326,-4.715,-6.124,-7.523,-8.942,-10.140,-11.253,-12.392,-13.686,-15.104,-16.493,-17.798,-19.067,-20.390,-21.933,-23.640,-25.187,20000,10000,-4.834
862,2018-08-02 13:57:48,11,31.000,69.100,1000.400,-3.74,0,4.387,0.148,6.037,31.000,30.611,30.272,29.893,29.488,29.180,28.914,28.628,28.250,27.933,27.509,27.052,26.481,25.997,25.430,24.850,24.109,23.459,22.815,22.283,21.684,21.044,20.393,19.804,19.294,18.468,17.290,15.919,14.580,13.304,11.974,10.721,9.377,7.914,6.442,4.915,3.451,2.046,0.745,-0.700,-2.131,-3.533,-4.935,-6.402,-7.862,-9.317,-10.492,-11.681,-12.912,-14.207,-15.654,-17.129,-18.557,-19.916,-21.366,-22.964,-24.692,-26.323,20000,10000,-5.164
866,2018-08-02 14:01:41,11,31.200,66.900,1000.400,-3.46,0,4.356,0.145,6.083,31.200,30.811,30.475,30.095,29.681,29.371,29.108,28.828,28.449,28.129,27.713,27.287,26.743,26.290,25.750,25.207,24.494,23.888,23.295,22.810,22.250,21.621,21.005,20.452,19.973,19.162,18.032,16.702,15.326,14.021,12.663,11.425,10.071,8.604,7.086,5.528,4.040,2.628,1.325,-0.124,-1.570,-2.992,-4.401,-5.826,-7.265,-8.700,-9.874,-11.029,-12.250,-13.536,-15.006,-16.491,-17.911,-19.263,-20.738,-22.373,-24.145,-25.795,20000,10000,-5.140999999999998
870,2018-08-02 14:05:34,11,31.100,68.600,1000.400,-2.69,0,4.404,0.153,5.888,31.100,30.556,30.140,29.702,29.223,28.858,28.548,28.221,27.763,27.380,26.877,26.340,25.688,25.156,24.515,23.893,23.092,22.394,21.697,21.192,20.620,19.980,19.332,18.763,18.304,17.557,16.511,15.261,13.997,12.855,11.677,10.568,9.323,7.939,6.511,5.015,3.604,2.236,0.941,-0.514,-1.930,-3.310,-4.711,-6.113,-7.510,-8.922,-10.111,-11.205,-12.342,-13.611,-15.046,-16.459,-17.770,-18.998,-20.308,-21.859,-23.585,-25.116,20000,10000,-4.701999999999998
874,2018-08-02 14:09:27,11,30.800,69.000,1000.400,-2.64,0,4.423,0.152,5.792,30.800,30.265,29.850,29.416,28.949,28.589,28.279,27.951,27.503,27.130,26.629,26.081,25.416,24.866,24.224,23.583,22.774,22.053,21.343,20.810,20.208,19.559,18.895,18.311,17.829,17.060,15.977,14.703,13.465,12.322,11.140,10.011,8.776,7.392,5.976,4.489,3.091,1.721,0.426,-1.012,-2.411,-3.783,-5.180,-6.624,-8.048,-9.480,-10.658,-11.793,-12.958,-14.249,-15.676,-17.091,-18.422,-19.688,-21.024,-22.568,-24.268,-25.812,20000,10000,-4.7379999999999995
878,2018-08-02 14:13:20,11,30.700,69.900,1000.400,-2.65,0,4.459,0.148,5.826,30.700,30.125,29.691,29.239,28.757,28.384,28.064,27.726,27.261,26.877,26.363,25.798,25.121,24.571,23.926,23.291,22.490,21.776,21.066,20.553,19.976,19.341,18.691,18.117,17.654,16.916,15.880,14.641,13.420,12.312,11.169,10.079,8.869,7.508,6.102,4.626,3.240,1.886,0.592,-0.851,-2.239,-3.594,-4.991,-6.418,-7.819,-9.239,-10.418,-11.527,-12.664,-13.951,-15.377,-16.782,-18.086,-19.320,-20.628,-22.167,-23.878,-25.412,20000,10000,-4.604000000000001
882,2018-08-02 14:17:13,11,30.900,69.800,1000.400,-2.48,0,4.438,0.154,5.850,30.900,30.380,29.979,29.553,29.089,28.738,28.434,28.116,27.672,27.311,26.826,26.305,25.670,25.153,24.541,23.939,23.171,22.494,21.820,21.322,20.754,20.125,19.481,18.913,18.446,17.693,16.623,15.354,14.087,12.923,11.713,10.573,9.319,7.925,6.493,4.989,3.567,2.192,0.905,-0.533,-1.931,-3.302,-4.706,-6.136,-7.543,-8.965,-10.139,-11.256,-12.407,-13.690,-15.138,-16.567,-17.898,-19.150,-20.504,-22.072,-23.809,-25.368,20000,10000,-4.770000000000001
886,2018-08-02 14:21:06,11,30.900,69.400,1000.200,-2.66,0,4.421,0.145,5.866,30.900,30.548,30.224,29.858,29.474,29.179,28.924,28.649,28.296,27.996,27.599,27.165,26.617,26.144,25.605,25.051,24.341,23.714,23.095,22.573,21.975,21.342,20.695,20.104,19.583,18.743,17.543,16.154,14.799,13.486,12.116,10.833,9.468,7.991,6.515,4.983,3.519,2.117,0.826,-0.605,-2.015,-3.401,-4.792,-6.263,-7.728,-9.172,-10.332,-11.538,-12.789,-14.078,-15.511,-16.993,-18.446,-19.842,-21.335,-22.942,-24.660,-26.328,20000,10000,-5.256999999999998
890,2018-08-02 14:24:59,11,30.800,71.800,1000.400,18.82,0,4.426,0.157,1.780,30.800,30.304,29.916,29.500,29.053,28.717,28.421,28.104,27.671,27.327,26.850,26.324,25.684,25.152,24.526,23.905,23.125,22.428,21.725,21.197,20.599,19.963,19.293,18.701,18.205,17.432,16.315,15.004,13.745,12.582,11.361,10.187,8.923,7.525,6.117,4.621,3.196,1.820,0.546,-0.901,-2.294,-3.663,-5.060,-6.534,-7.955,-9.404,-10.580,-11.738,-12.911,-14.201,-15.634,-17.068,-18.429,-19.697,-21.050,-22.599,-24.314,-25.872,20000,10000,-4.849999999999998
894,2018-08-02 14:28:52,11,30.700,68.800,1000.400,-3.39,0,4.407,0.146,5.962,30.700,30.304,29.952,29.568,29.167,28.849,28.575,28.286,27.915,27.595,27.174,26.707,26.132,25.640,25.086,24.511,23.781,23.130,22.495,21.966,21.368,20.731,20.087,19.496,18.987,18.162,16.992,15.631,14.310,13.040,11.729,10.490,9.163,7.711,6.244,4.731,3.298,1.904,0.593,-0.825,-2.223,-3.600,-4.991,-6.448,-7.915,-9.357,-10.522,-11.710,-12.940,-14.241,-15.676,-17.143,-18.559,-19.943,-21.413,-23.012,-24.716,-26.371,20000,10000,-5.122
898,2018-08-02 14:32:45,11,31.000,68.500,1000.400,-3.13,0,4.374,0.150,6.002,31.000,30.649,30.330,29.966,29.574,29.278,29.022,28.750,28.391,28.093,27.698,27.280,26.749,26.301,25.780,25.245,24.553,23.953,23.365,22.871,22.301,21.677,21.053,20.486,19.990,19.164,17.992,16.626,15.249,13.926,12.542,11.265,9.891,8.410,6.903,5.347,3.856,2.441,1.144,-0.289,-1.714,-3.121,-4.525,-5.981,-7.442,-8.887,-10.052,-11.236,-12.475,-13.768,-15.237,-16.737,-18.184,-19.567,-21.077,-22.714,-24.471,-26.148,20000,10000,-5.238000000000001
902,2018-08-02 14:36:38,11,31.000,68.000,1000.300,-3.08,0,4.391,0.140,5.869,31.000,30.414,29.974,29.519,29.026,28.649,28.327,27.985,27.506,27.106,26.572,25.997,25.298,24.725,24.046,23.377,22.527,21.776,21.035,20.501,19.897,19.237,18.568,17.992,17.521,16.766,15.721,14.484,13.269,12.166,11.028,9.944,8.742,7.380,5.966,4.483,3.099,1.742,0.448,-1.014,-2.426,-3.799,-5.197,-6.630,-8.034,-9.459,-10.645,-11.756,-12.903,-14.191,-15.608,-16.996,-18.298,-19.528,-20.813,-22.335,-24.035,-25.537,20000,10000,-4.599999999999998
906,2018-08-02 14:40:31,11,30.900,70.300,1000.300,-3.07,0,4.394,0.149,5.873,30.900,30.387,29.981,29.552,29.097,28.744,28.444,28.119,27.682,27.316,26.826,26.280,25.622,25.074,24.428,23.784,22.973,22.250,21.523,20.977,20.369,19.715,19.042,18.442,17.950,17.174,16.076,14.776,13.524,12.375,11.191,10.053,8.803,7.414,6.006,4.526,3.129,1.765,0.468,-0.988,-2.397,-3.767,-5.159,-6.600,-8.025,-9.461,-10.650,-11.790,-12.955,-14.235,-15.646,-17.065,-18.407,-19.676,-20.991,-22.518,-24.204,-25.757,20000,10000,-4.7989999999999995
910,2018-08-02 14:44:24,11,31.100,68.300,1000.200,-2.22,0,4.401,0.153,5.744,31.100,30.609,30.219,29.802,29.350,29.009,28.715,28.403,27.971,27.609,27.123,26.607,25.966,25.432,24.806,24.183,23.381,22.674,21.973,21.439,20.829,20.175,19.509,18.923,18.431,17.640,16.525,15.217,13.943,12.747,11.507,10.338,9.080,7.661,6.217,4.708,3.292,1.907,0.612,-0.837,-2.254,-3.644,-5.053,-6.510,-7.938,-9.372,-10.546,-11.698,-12.886,-14.181,-15.611,-17.034,-18.390,-19.682,-21.043,-22.599,-24.314,-25.878,20000,10000,-4.893000000000001
914,2018-08-02 14:48:17,11,30.900,70.900,1000.200,-1.46,0,4.438,0.149,5.682,30.900,30.437,30.066,29.662,29.227,28.899,28.613,28.311,27.899,27.565,27.115,26.625,26.023,25.523,24.939,24.363,23.625,22.974,22.321,21.823,21.249,20.623,19.976,19.400,18.917,18.141,17.026,15.715,14.419,13.205,11.934,10.745,9.457,8.037,6.597,5.081,3.642,2.259,0.985,-0.446,-1.836,-3.207,-4.605,-6.054,-7.472,-8.902,-10.064,-11.211,-12.386,-13.667,-15.112,-16.558,-17.925,-19.213,-20.613,-22.193,-23.929,-25.525,20000,10000,-4.935999999999998
